source_path,duplicate_group_id,sha256,size,canonical_candidate,safe_to_archive,safe_to_delete,reason
submit_png_graypulse_verified/Rest/data/MobileBERT_SST2_greypulse/campaign_nlp_mobilebert_graypulse_c96.csv,DUP_GROUP_024,35973414c3df731a2fb77c23c3385399f00d41dc08fb152a35c77b543d8f63cd,26564873,data/results/MobileBERT_SST2_greypulse/campaign_nlp_mobilebert_graypulse_c96.csv,True,True,Byte-for-byte duplicate copy of data/results/MobileBERT_SST2_greypulse/campaign_nlp_mobilebert_graypulse_c96.csv
submit_png_graypulse_verified/Rest/data/MobileBERT_SST2_greypulse/summary_mobilebert_graypulse.csv,DUP_GROUP_025,b2b055e609fd2257945f80a077300262b29e0f03639a300d2e7621012c0aed36,535,data/results/MobileBERT_SST2_greypulse/summary_mobilebert_graypulse.csv,True,True,Byte-for-byte duplicate copy of data/results/MobileBERT_SST2_greypulse/summary_mobilebert_graypulse.csv
submit_png_graypulse_verified/Rest/data/MobileBERT_SST2_p2c_pewma/benchmark_mobilebert_p2c.json,DUP_GROUP_026,d48c724a9e29bc7607bbc9ebfecd47fb1d48cd61726ec07c17441584f5ec1471,3401,data/results/MobileBERT_SST2_p2c_pewma/benchmark_mobilebert_p2c.json,True,True,Byte-for-byte duplicate copy of data/results/MobileBERT_SST2_p2c_pewma/benchmark_mobilebert_p2c.json
submit_png_graypulse_verified/Rest/data/MobileBERT_SST2_p2c_pewma/campaign_nlp_mobilebert_p2c_c128.csv,DUP_GROUP_027,b3d51bc701c91a9ef29efd0c8587e977031d10aebef832fe88bbf9933f994fd1,1265286,data/results/MobileBERT_SST2_p2c_pewma/campaign_nlp_mobilebert_p2c_c128.csv,True,True,Byte-for-byte duplicate copy of data/results/MobileBERT_SST2_p2c_pewma/campaign_nlp_mobilebert_p2c_c128.csv
submit_png_graypulse_verified/Rest/data/MobileBERT_SST2_p2c_pewma/campaign_nlp_mobilebert_p2c_c32.csv,DUP_GROUP_028,cc923fdfc3ddedb0d3214559fc636f771eabff27f3b44248f7a4151d35f5b560,1907609,data/results/MobileBERT_SST2_p2c_pewma/campaign_nlp_mobilebert_p2c_c32.csv,True,True,Byte-for-byte duplicate copy of data/results/MobileBERT_SST2_p2c_pewma/campaign_nlp_mobilebert_p2c_c32.csv
submit_png_graypulse_verified/Rest/data/MobileBERT_SST2_p2c_pewma/campaign_nlp_mobilebert_p2c_c48.csv,DUP_GROUP_029,39966d098c99dba35581645fdcb1ab1eddf522f7168e874bafc5522a166018db,1934508,data/results/MobileBERT_SST2_p2c_pewma/campaign_nlp_mobilebert_p2c_c48.csv,True,True,Byte-for-byte duplicate copy of data/results/MobileBERT_SST2_p2c_pewma/campaign_nlp_mobilebert_p2c_c48.csv
submit_png_graypulse_verified/Rest/data/MobileBERT_SST2_p2c_pewma/campaign_nlp_mobilebert_p2c_c64.csv,DUP_GROUP_030,118033263aa5675e72d68543370c19784726900d8949a1f1f1c6e788d8906b67,1790703,data/results/MobileBERT_SST2_p2c_pewma/campaign_nlp_mobilebert_p2c_c64.csv,True,True,Byte-for-byte duplicate copy of data/results/MobileBERT_SST2_p2c_pewma/campaign_nlp_mobilebert_p2c_c64.csv
submit_png_graypulse_verified/Rest/data/MobileBERT_SST2_p2c_pewma/campaign_nlp_mobilebert_p2c_c96.csv,DUP_GROUP_031,4bf4cd11cf4ac2d817ecb54fbda5340087e2ff394e43e6547715a654dda6d173,1541482,data/results/MobileBERT_SST2_p2c_pewma/campaign_nlp_mobilebert_p2c_c96.csv,True,True,Byte-for-byte duplicate copy of data/results/MobileBERT_SST2_p2c_pewma/campaign_nlp_mobilebert_p2c_c96.csv
submit_png_graypulse_verified/Rest/data/MobileBERT_SST2_p2c_pewma/generate_empirical_mobilebert_p2c.py,DUP_GROUP_032,8aeb60b896326eaa833e547f92062ad1c1b132f5ccde84f571bd32bfd54e7b50,10348,data/results/MobileBERT_SST2_p2c_pewma/generate_empirical_mobilebert_p2c.py,True,True,Byte-for-byte duplicate copy of data/results/MobileBERT_SST2_p2c_pewma/generate_empirical_mobilebert_p2c.py
submit_png_graypulse_verified/Rest/data/MobileBERT_SST2_p2c_pewma/README_PRODUCTION.md,DUP_GROUP_033,504ac452979fbfd3872880d607501217c95ff8405df27ba4ba66aad98659ba34,5764,data/results/MobileBERT_SST2_p2c_pewma/README_PRODUCTION.md,True,True,Byte-for-byte duplicate copy of data/results/MobileBERT_SST2_p2c_pewma/README_PRODUCTION.md
submit_png_graypulse_verified/Rest/data/MobileBERT_SST2_p2c_pewma/summary_mobilebert_p2c.csv,DUP_GROUP_034,dc2750c24c1e81ff6c9e467253ee25022bfa6cc081470751ceb2369538ba9ab0,456,data/results/MobileBERT_SST2_p2c_pewma/summary_mobilebert_p2c.csv,True,True,Byte-for-byte duplicate copy of data/results/MobileBERT_SST2_p2c_pewma/summary_mobilebert_p2c.csv
submit_png_graypulse_verified/Rest/data/MobileBERT_SST2_round_robin/benchmark_mobilebert_rr.json,DUP_GROUP_035,02f3b8d966711a11759a515a06099516ece4a8c2d91870297a481f52e229be2c,220,data/results/MobileBERT_SST2_round_robin/benchmark_mobilebert_rr.json,True,True,Byte-for-byte duplicate copy of data/results/MobileBERT_SST2_round_robin/benchmark_mobilebert_rr.json
